B.R.,bounce rate
B2B,business to business
B2C,business to consumer
B2G,business to government
C&F,cost with freight
C&P,copy and paste
CAGR,compound annual growth rate
CAO,chief administrative officer
CAPEX,capital expenditure
CAPM,capital asset pricing model
CBOE,chicago board options exchange
CBOT,chicago board of trade
CDM,sales & marketing
CDO,collateralized debt obligation
CDS,credit default swap
CEO,chief executive officer
CFA,chartered financial analyst
CFC,consumption of fixed capital
CFCT,cash flow cycle time
CFD,contract for difference
CFM,certified financial manager
CFO,chief financial officer
CFO,chief financial officer
CFO PEX,capital expenditures
CFS,consolidated financial statement
CIF,cost insurance with freight
CIMA,chartered institute of management accountants
CIO,chief information officer
CIP,carriage and insurance paid
CISA,certified information systems auditor
CMA,certified management accountant
CMGR,community manager
CMO,chief marketing officer
CMS,content management system
COA,chart of account
COB,close of business
COD,cash on delivery
COGS,cost of goods sold
COO,chief operating officer
Corp.,corporation
CPA,certified public accountant
CPI,consumer price index
CPQ,"configure, price, quote"
CRM,customer relationship management
CSI,continual service improvement
CSO,chief security officer
CSR,corporate social responsibility
CTC,cost to company
CTO,chief technology officer
CTO,chief technology officer
CUL,see you later
CVP,cost volume profit
CX,customer experience
ROI,return on investment
ROM,read only member
SMB,small to medium business
SMM,social media marketing
SPOC,single point of contact
DDA,depletion depreciation amortization
dept.,department
Dept,department
DMA,direct market access
FDP,finance department
FX,foreign exchange market
Inc.,Incorporated
IoT,internet of things
LBO,leveraged buyout
LIBOR,london interbank offered rate
LIFFE,london international financial futures and options exchange
Ltd.,limited company
LTV,loan to value
mfg.,manufacturing
MGMT,management
MRP,maximum retail price
NII,net interest income
NIM,net interest margin
NOA,net operation assets
NOI,net operation income
NOPAT,net operating profit after tax
NPV,net present value
NYMEX,new york mercantile exchange
NYSE,new york stock exchange
OCF,operating cash flow
OIDBA,operating income before depreciation and amortization
OPEX,operational expenditures
OTC,other the counter
OOO,out of office
P/E,price to earnings
P&L,proffit and loss
PP&E,"property, plant and equipment"
PPP,purchasing power parity
QoQ,quarter on quarter
q/q,quarter on quarter
QTD,quarter to date
RBI,reserve bank of india
RBA,reserve bank of australia
RFI,request for information
RFP,request for proposal
RFQ,request for quotation
ROA,return on assets
ROCE,return on capital employed
ROE,return on equity
ROIC,return on investment capital
RONA,return on net assets
ROS,return on sales
R&D,research and development
S&M,sales & marketing
S&OP,sales & operations planning
SAAS,software as a service
SCM,supply chain management
SCBA,social cost benefit analysis
SEBI,securities and exchange board of india
SG&A,"sales, general, and administrative expenses"
SKU,stock keeping unit
SME,small and medium enterprises
SOX,sarbanes oxley
SROI,social return on investments
TQM,total quality management
USP,unique selling proposition
VAT,value added tax
VAD,value added distributor
VAR,value added reseller
VaR,value at risk
WACC,weighted average cost of capital
wrk,work
w.r.t.,with respect to
WTI,west texas intermediate
ZOPA,zone of possible agreement
AIR,assumed interest rate
APR,annual percentage rate
EFT,electronic funds transfer
ETF,exchange traded funds
FDIC,federal deposit insurance corporation
FOREX,foreign exchange
FRB,federal reserve board
GNP,gross national product
MMKT,money market
PSP,profit sharing plan
REIT,real estate investment trust
TSA,tas sheltered annuity
YTM,yield to maturity
CAGR,compound annual growth rate
LLC,limited liability company
NCND,non circumvent and non disclosure
NDA,non disclosure agreement
WC,working capital
ADTV,average daily trading volume
AMEX,american sotck exchange
CMP,current market price
DIJA,down jones industrial average
IPO,initial public offering
IRA,individual retirement account
PFD,prefered stock
A/L,assets / liabilities
ABOC,authorization based on characteristic values
BACM,bank account contract manegement
